0 1 2 3 4 5 6 7 8
000030 20170421 14:00 14,400 200 14,400 14,350 799,629 1,877
000030 20170421 13:59 14,400 200 14,400 14,350 797,752 1,571
000030 20170421 13:58 14,350 150 14,400 14,350 796,181 5,320
000030 20170421 13:57 14,350 150 14,400 14,350 790,861 1,972
000030 20170421 13:56 14,400 200 14,400 14,350 788,889 2,178
000030 20170421 13:55 14,400 200 14,400 14,350 786,711 1,469
000030 20170421 13:54 14,400 200 14,400 14,350 785,242 1,583
000030 20170421 13:53 14,400 200 14,400 14,350 783,659 2,374
000030 20170421 13:52 14,350 150 14,400 14,350 781,285 837
000030 20170421 13:51 14,400 200 14,400 14,350 780,448 2,393
000030 20170421 13:50 14,400 200 14,400 14,350 778,055 4,784
000030 20170421 13:49 14,400 200 14,400 14,350 773,271 1,815
000030 20170421 13:48 14,350 150 14,400 14,350 771,456 2,124
000030 20170421 13:47 14,400 200 14,400 14,350 769,332 5,551
000030 20170421 13:46 14,400 200 14,400 14,350 763,781 4,365
000030 20170421 13:45 14,350 150 14,400 14,350 759,416 3,899
000030 20170421 13:44 14,400 200 14,400 14,350 755,517 8,933
000030 20170421 13:43 14,300 100 14,350 14,300 746,584 1,938
000030 20170421 13:42 14,350 150 14,350 14,300 744,646 2,199
000030 20170421 13:41 14,350 150 14,350 14,300 742,447 811
000030 20170421 13:40 14,300 100 14,350 14,300 741,636 2,405
000030 20170421 13:39 14,350 150 14,350 14,300 739,231 27,642
000030 20170421 13:38 14,350 150 14,350 14,300 711,589 2,063
000030 20170421 13:37 14,350 150 14,350 14,300 709,526 2,267
000030 20170421 13:36 14,350 150 14,350 14,300 707,259 670
000030 20170421 13:35 14,350 150 14,350 14,300 706,589 1,962
000030 20170421 13:34 14,350 150 14,350 14,300 704,627 2,019
000030 20170421 13:33 14,350 150 14,350 14,300 702,608 1,318
000030 20170421 13:32 14,300 100 14,350 14,300 701,290 1,996
000030 20170421 13:31 14,350 150 14,350 14,300 699,294 1,433
000030 20170421 13:30 14,350 150 14,350 14,300 697,861 579
000030 20170421 13:29 14,350 150 14,350 14,300 697,282 1,990
000030 20170421 13:28 14,300 100 14,350 14,300 695,292 1,860
000030 20170421 13:27 14,300 100 14,350 14,300 693,432 2,599
000030 20170421 13:26 14,350 150 14,350 14,300 690,833 15,636
000030 20170421 13:25 14,350 150 14,350 14,300 675,197 13,962
000030 20170421 13:24 14,400 200 14,400 14,350 661,235 2,091
000030 20170421 13:23 14,350 150 14,400 14,350 659,144 51,673
000030 20170421 13:22 14,350 150 14,350 14,300 607,471 41,591
000030 20170421 13:21 14,350 150 14,350 14,300 565,880 1,724
000030 20170421 13:20 14,350 150 14,350 14,300 564,156 2,143
000030 20170421 13:19 14,350 150 14,350 14,300 562,013 2,029
000030 20170421 13:18 14,350 150 14,350 14,300 559,984 2,650
000030 20170421 13:17 14,350 150 14,350 14,300 557,334 2,295
000030 20170421 13:16 14,350 150 14,350 14,300 555,039 1,811
000030 20170421 13:15 14,300 100 14,350 14,300 553,228 3,033
000030 20170421 13:14 14,350 150 14,350 14,300 550,195 2,943
000030 20170421 13:13 14,350 150 14,350 14,300 547,252 3,052
000030 20170421 13:12 14,300 100 14,350 14,300 544,200 2,842
000030 20170421 13:11 14,350 150 14,350 14,300 541,358 2,909
000030 20170421 13:10 14,350 150 14,350 14,300 538,449 2,753
000030 20170421 13:09 14,350 150 14,350 14,300 535,696 6,252
000030 20170421 13:08 14,350 150 14,350 14,300 529,444 555
000030 20170421 13:07 14,300 100 14,350 14,300 528,889 669
000030 20170421 13:06 14,300 100 14,350 14,300 528,220 1,363
000030 20170421 13:05 14,350 150 14,350 14,300 526,857 1,458
000030 20170421 13:04 14,300 100 14,350 14,300 525,399 785
000030 20170421 13:03 14,350 150 14,350 14,300 524,614 1,140
000030 20170421 13:02 14,350 150 14,350 14,300 523,474 1,443
000030 20170421 13:01 14,300 100 14,350 14,300 522,031 462
000030 20170421 13:00 14,350 150 14,350 14,300 521,569 1,716
000030 20170421 12:59 14,300 100 14,350 14,300 519,853 944
000030 20170421 12:58 14,300 100 14,350 14,300 518,909 931
000030 20170421 12:57 14,350 150 14,350 14,300 517,978 1,646
000030 20170421 12:56 14,350 150 14,350 14,300 516,332 203
000030 20170421 12:55 14,300 100 14,350 14,300 516,129 1,793
000030 20170421 12:54 14,300 100 14,350 14,300 514,336 1,352
000030 20170421 12:53 14,350 150 14,350 14,300 512,984 370
000030 20170421 12:52 14,300 100 14,350 14,300 512,614 487
